iter	MultiClass
0	1.765621003
1	1.584376548
2	1.453104485
3	1.352783678
4	1.257345967
5	1.181700418
6	1.10954437
7	1.050865895
8	0.9958781726
9	0.9443319041
10	0.8973277328
11	0.8545318329
12	0.8192585718
13	0.7850036672
14	0.7531284598
15	0.7212316658
16	0.6945098744
17	0.6732080228
18	0.6498366756
19	0.6264026893
20	0.6042481026
21	0.5864103124
22	0.5719023633
23	0.5563656038
24	0.5390472135
25	0.5230941468
26	0.5095321304
27	0.4961076464
28	0.4856594662
29	0.4723007247
30	0.4604680767
31	0.4516860798
32	0.4413643085
33	0.4340028691
34	0.4228738735
35	0.4144966302
36	0.407738546
37	0.3981177837
38	0.3905917946
39	0.3826181574
40	0.3753678717
41	0.3674605875
42	0.3610199828
43	0.3543837765
44	0.348159926
45	0.3430757121
46	0.3385297814
47	0.3335013128
48	0.3301254588
49	0.3262090825
50	0.3217875263
51	0.3177142732
52	0.3125896441
53	0.3081212905
54	0.3039419537
55	0.3000199794
56	0.2964100294
57	0.292352033
58	0.2891121733
59	0.2860911898
60	0.2823399653
61	0.2785279989
62	0.275225616
63	0.2718207145
64	0.2687603719
65	0.2654729018
66	0.2628150598
67	0.2592106154
68	0.2567144493
69	0.2544454965
70	0.2522071201
71	0.2500359392
72	0.2480845429
73	0.2455017699
74	0.2428212114
75	0.2410363144
76	0.2384977324
77	0.236528104
78	0.2348234148
79	0.2333169647
80	0.2314321099
81	0.2291455635
82	0.2266465191
83	0.2243670706
84	0.2218211537
85	0.2201754245
86	0.2179979072
87	0.2162467664
88	0.2145088604
89	0.2122925842
90	0.2104194767
91	0.2090189664
92	0.2078715962
93	0.206209094
94	0.2042788348
95	0.2023349626
96	0.2013310188
97	0.1994643286
98	0.198347257
99	0.1964604689
100	0.1958513481
101	0.1945014902
102	0.1928239272
103	0.191651147
104	0.1901895282
105	0.1884756297
106	0.1872038149
107	0.1853908063
108	0.184087888
109	0.1829085457
110	0.1818281324
111	0.1805588519
112	0.1790082044
113	0.1773553303
114	0.1764176946
115	0.1746822751
116	0.1736729094
117	0.1725100326
118	0.1711395446
119	0.1700447948
120	0.1684734839
121	0.1675518241
122	0.1661404753
123	0.1647097858
124	0.1629768332
125	0.1616942237
126	0.1607592002
127	0.1596483791
128	0.1580716604
129	0.1570026098
130	0.1564659401
131	0.155849503
132	0.1549777103
133	0.154012808
134	0.1527653446
135	0.1515452099
136	0.1505862307
137	0.1495972438
138	0.1481538492
139	0.1475991754
140	0.1469003055
141	0.1459241974
142	0.1448666661
143	0.1438324958
144	0.1428207164
145	0.1417948607
146	0.1408491121
147	0.1403790599
148	0.1393544445
149	0.1386455406
150	0.1376419332
151	0.1369718547
152	0.1358396601
153	0.1351719509
154	0.1343890952
155	0.1335164354
156	0.1326022342
157	0.1317827505
158	0.1307839455
159	0.1304876166
160	0.129861645
161	0.1293565972
162	0.1284802029
163	0.1276560784
164	0.1267800411
165	0.126337971
166	0.1254709122
167	0.1248572681
168	0.1245202669
169	0.123804037
170	0.1231112719
171	0.1224670096
172	0.1216741197
173	0.1212088958
174	0.120812966
175	0.1202563315
176	0.1194434735
177	0.1187157446
178	0.1181851775
179	0.1172848911
180	0.116646686
181	0.1164196838
182	0.1157550835
183	0.1149152853
184	0.1142573089
185	0.1136854492
186	0.1130406766
187	0.1125537569
188	0.1119430579
189	0.1110767098
190	0.1103809035
191	0.109549924
192	0.109074745
193	0.1087342369
194	0.108208054
195	0.107479884
196	0.1072081237
197	0.1067251064
198	0.1063545131
199	0.1057223841
200	0.1052639498
201	0.1048274739
202	0.1043681772
203	0.1038118744
204	0.1031239811
205	0.1027038124
206	0.102020556
207	0.101640257
208	0.1011611625
209	0.1009572674
210	0.1004823693
211	0.09999638935
212	0.0995660784
213	0.09901291237
214	0.098558295
215	0.09797076265
216	0.09762135261
217	0.0972893624
218	0.09697453917
219	0.09656803722
220	0.09605039233
221	0.09572187973
222	0.09516383985
223	0.09484273771
224	0.09435008991
225	0.09378902676
226	0.09325189027
227	0.09283480823
228	0.09245145328
229	0.09198970339
230	0.09156278729
231	0.09112164734
232	0.09053956423
233	0.09001236827
234	0.08962045273
235	0.08916224749
236	0.08873032902
237	0.08848273156
238	0.08808061198
239	0.08761757311
240	0.08720576548
241	0.08704845728
242	0.08664693876
243	0.08619105026
244	0.08600379346
245	0.08531148464
246	0.0849290644
247	0.08438368871
248	0.08388238416
249	0.08342739229
250	0.08314742746
251	0.08267353708
252	0.08226039481
253	0.08194335896
254	0.08156557262
255	0.08118239072
256	0.08090434857
257	0.08062047762
258	0.08022715288
259	0.07978267393
260	0.07933513008
261	0.07910159229
262	0.07878293767
263	0.07861693722
264	0.07811848102
265	0.07775218093
266	0.07750262925
267	0.0773133434
268	0.0768882339
269	0.07664869804
270	0.07635926824
271	0.07598824658
272	0.07585862568
273	0.07562644799
274	0.07516537705
275	0.07477676248
276	0.07456858256
277	0.07442024482
278	0.07415442902
279	0.07386875131
280	0.07363646245
