iter	Passed	Remaining
650	30126	16150
651	30170	16103
652	30213	16055
653	30257	16007
654	30300	15959
655	30343	15912
656	30385	15863
657	30429	15815
658	30471	15767
659	30512	15718
660	30555	15670
661	30601	15624
662	30645	15576
663	30688	15529
664	30730	15480
665	30773	15432
666	30816	15385
667	30860	15337
668	30903	15289
669	30946	15242
670	30987	15193
671	31030	15146
672	31074	15098
673	31118	15051
674	31159	15002
675	31202	14955
676	31245	14907
677	31290	14860
678	31338	14815
679	31383	14768
680	31424	14720
681	31473	14675
682	31516	14627
683	31565	14582
684	31612	14537
685	31657	14490
686	31709	14447
687	31751	14399
688	31795	14351
689	31837	14303
690	31880	14256
691	31923	14208
692	31972	14164
693	32016	14116
694	32061	14070
695	32102	14021
696	32146	13974
697	32188	13926
698	32238	13882
699	32281	13834
700	32331	13790
701	32373	13742
702	32419	13696
703	32462	13649
704	32505	13601
705	32546	13553
706	32601	13510
707	32642	13462
708	32691	13417
709	32732	13369
710	32775	13322
711	32817	13274
712	32866	13229
713	32909	13182
714	32960	13137
715	33003	13090
716	33047	13043
717	33091	12996
718	33138	12951
719	33180	12903
720	33224	12856
721	33268	12809
722	33310	12762
723	33353	12714
724	33401	12669
725	33444	12622
726	33488	12575
727	33535	12529
728	33579	12482
729	33624	12436
730	33667	12389
731	33716	12344
732	33759	12297
733	33808	12252
734	33853	12205
735	33894	12157
736	33936	12110
737	33977	12062
738	34019	12015
739	34061	11967
740	34105	11920
741	34149	11874
742	34190	11826
743	34231	11778
744	34272	11730
745	34318	11684
746	34361	11637
747	34402	11590
748	34445	11543
749	34487	11495
750	34530	11448
751	34574	11402
752	34615	11354
753	34658	11307
754	34702	11261
755	34744	11213
756	34787	11166
757	34830	11120
758	34872	11072
759	34914	11025
760	34956	10978
761	34999	10931
762	35041	10884
763	35083	10837
764	35125	10790
765	35167	10743
766	35210	10696
767	35252	10649
768	35293	10601
769	35333	10554
770	35374	10506
771	35418	10460
772	35461	10413
773	35503	10366
774	35546	10320
775	35591	10273
776	35634	10227
777	35676	10180
778	35720	10133
779	35764	10087
780	35808	10041
781	35851	9994
782	35892	9947
783	35934	9900
784	35977	9853
785	36020	9806
786	36061	9760
787	36103	9713
788	36146	9666
789	36189	9620
790	36231	9573
791	36273	9526
792	36317	9480
793	36360	9433
794	36403	9386
795	36445	9340
796	36489	9294
797	36531	9247
798	36576	9201
799	36619	9154
800	36661	9108
801	36705	9062
802	36749	9015
803	36790	8968
804	36834	8922
805	36877	8876
806	36919	8829
807	36963	8783
808	37006	8737
809	37049	8690
810	37093	8644
811	37134	8597
812	37178	8551
813	37221	8505
814	37263	8458
815	37305	8411
816	37349	8365
817	37391	8319
818	37436	8273
819	37478	8226
820	37520	8180
821	37564	8134
822	37606	8087
823	37648	8041
824	37690	7994
825	37733	7948
826	37776	7902
827	37817	7855
828	37860	7809
829	37903	7763
830	37947	7717
831	37990	7671
832	38033	7625
833	38077	7578
834	38120	7532
835	38163	7486
836	38205	7440
837	38248	7394
838	38290	7347
839	38333	7301
840	38375	7255
841	38417	7209
842	38460	7162
843	38503	7116
844	38545	7070
845	38588	7024
846	38631	6978
847	38674	6932
848	38717	6886
849	38759	6839
850	38801	6793
851	38843	6747
852	38884	6701
853	38928	6655
854	38973	6609
855	39015	6563
856	39057	6517
857	39099	6471
858	39141	6424
859	39162	6375
860	39204	6329
861	39253	6284
862	39305	6239
863	39356	6194
864	39397	6148
865	39440	6102
866	39483	6056
867	39525	6010
868	39570	5965
869	39611	5918
870	39653	5872
871	39694	5826
872	39739	5781
873	39780	5734
874	39822	5688
875	39864	5642
876	39908	5597
877	39951	5551
878	39995	5505
879	40039	5459
880	40081	5414
881	40123	5368
882	40167	5322
883	40210	5276
884	40253	5230
885	40294	5184
886	40337	5138
887	40379	5092
888	40422	5047
889	40466	5001
890	40509	4955
891	40550	4909
892	40589	4863
893	40630	4817
894	40672	4771
895	40714	4725
896	40766	4681
897	40809	4635
898	40852	4589
899	40893	4543
900	40938	4498
901	40981	4452
902	41022	4406
903	41066	4361
904	41107	4315
905	41147	4269
906	41190	4223
907	41232	4177
908	41275	4132
909	41316	4086
910	41360	4040
911	41402	3995
912	41445	3949
913	41488	3903
914	41532	3858
915	41576	3812
916	41618	3767
917	41662	3721
918	41703	3675
919	41744	3629
920	41786	3584
921	41829	3538
922	41871	3493
923	41915	3447
924	41957	3401
925	42001	3356
926	42044	3310
927	42086	3265
928	42130	3219
929	42172	3174
930	42214	3128
931	42256	3083
932	42301	3037
933	42343	2992
934	42386	2946
935	42428	2901
936	42471	2855
937	42513	2810
938	42558	2764
939	42600	2719
940	42643	2673
941	42684	2628
942	42726	2582
943	42769	2537
944	42812	2491
945	42854	2446
946	42896	2400
947	42939	2355
948	42981	2309
949	43024	2264
950	43066	2218
951	43108	2173
952	43151	2128
953	43194	2082
954	43236	2037
955	43281	1992
956	43319	1946
957	43362	1901
958	43408	1855
959	43451	1810
960	43492	1765
961	43534	1719
962	43577	1674
963	43619	1628
964	43664	1583
965	43707	1538
966	43752	1493
967	43846	1449
968	43885	1403
969	43928	1358
970	43971	1313
971	44009	1267
972	44062	1222
973	44105	1177
974	44148	1132
975	44189	1086
976	44231	1041
977	44274	995
978	44317	950
979	44363	905
980	44407	860
981	44451	814
982	44492	769
983	44534	724
984	44579	678
985	44621	633
986	44662	588
987	44704	542
988	44750	497
989	44794	452
990	44837	407
991	44880	361
992	44921	316
993	44962	271
994	45004	226
995	45049	180
996	45091	135
997	45132	90
998	45153	45
999	45201	0
